date,region,product,units,sales,revenue
2024-01-01,North,Salesforce,100,25,25000
2024-01-01,North,HubSpot,80,20,16000
2024-01-01,South,Salesforce,120,30,30000
2024-01-01,South,HubSpot,90,22,19800
2024-01-02,North,Salesforce,110,28,27500
2024-01-02,North,HubSpot,75,19,15200
2024-01-02,South,Salesforce,130,32,32500
2024-01-02,South,HubSpot,85,21,18700
2024-01-03,North,Salesforce,95,24,23750
2024-01-03,North,HubSpot,82,20,16400
2024-01-03,South,Salesforce,115,29,28750
2024-01-03,South,HubSpot,88,23,20050
2024-01-04,North,Salesforce,105,26,26250
2024-01-04,North,HubSpot,78,19,15620
2024-01-04,South,Salesforce,125,31,31250
2024-01-04,South,HubSpot,92,22,19040

